"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"487",0,0,4,4,3,3,"Alberta",99,"Other Christian"
"488",0,0,99,2,4,4,"Alberta",99,"Non-religious"
"489",1,0,99,1,1,1,"Alberta",99,"Non-religious"
"490",0,0,1,1,4,3,"Alberta",6,"Catholic"
"491",1,0,99,3,4,1,"Alberta",99,"Non-religious"
"492",1,0,99,4,4,3,"Alberta",99,"Non-religious"
"493",0,0,99,1,2,3,"Alberta",99,"Non-religious"
"494",0,1,99,3,3,2,"Alberta",99,"Non-religious"
"495",0,0,2,4,2,3,"Alberta",99,"Other Christian"
"496",0,0,1,2,4,3,"Alberta",7,"United Church"
"497",0,0,3,3,2,3,"Alberta",99,"Other Christian"
"498",0,0,4,2,1,3,"British Columbia",8,"Catholic"
"499",0,0,2,3,3,2,"British Columbia",10,"United Church"
"500",0,0,99,4,4,3,"British Columbia",99,"Non-religious"
"501",0,0,2,2,2,1,"Alberta",5,"United Church"
"502",1,0,2,2,3,3,"British Columbia",99,"Other Christian"
"503",0,1,99,1,3,3,"Alberta",99,"Non-religious"
"504",1,0,1,1,4,2,"Alberta",4,"Catholic"
"505",0,1,99,3,4,2,"British Columbia",99,"Non-religious"
"506",0,0,2,2,4,3,"Alberta",7,"Catholic"
"507",1,0,4,3,3,3,"Alberta",7,"Catholic"
"508",1,0,4,2,3,3,"Alberta",5,"Catholic"
"509",0,1,99,2,4,1,"Alberta",99,"Non-religious"
"510",0,0,2,2,3,4,"Alberta",99,"Other"
"511",0,0,4,4,4,3,"Alberta",99,"Other Christian"
"512",1,0,2,3,3,2,"Alberta",99,"Other Christian"
"513",0,1,2,4,4,3,"Alberta",99,"Other"
"514",1,1,4,3,2,2,"Alberta",8,"United Church"
"515",1,0,1,3,4,3,"Alberta",3,"Catholic"
"516",1,1,2,3,1,3,"Alberta",7,"United Church"
"517",0,1,4,3,4,5,"Alberta",2,"Catholic"
"518",0,0,4,4,4,3,"Alberta",99,"Other Christian"
"519",0,1,99,2,4,3,"Alberta",99,"Non-religious"
"520",0,1,99,3,3,3,"Alberta",99,"Non-religious"
"521",0,0,99,2,3,1,"British Columbia",99,"Non-religious"
"522",0,0,4,3,3,3,"Alberta",99,"Muslim"
"523",1,0,2,2,3,4,"Alberta",0,"Catholic"
"524",0,1,4,2,3,3,"Alberta",4,"Catholic"
"525",0,1,99,1,3,3,"Alberta",99,"Non-religious"
"526",0,1,2,3,3,2,"Alberta",9,"Catholic"
"527",1,0,4,4,3,3,"Alberta",99,"Other Christian"
"528",0,0,99,4,4,3,"Alberta",99,"Non-religious"
"529",0,0,99,4,4,4,"British Columbia",99,"Non-religious"
"530",1,1,4,4,4,3,"Alberta",99,"Buddhist"
"531",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"532",0,0,99,2,4,3,"Alberta",99,"Non-religious"
"533",1,0,99,1,3,2,"Alberta",99,"Non-religious"
"534",1,0,2,2,4,3,"Alberta",7,"United Church"
"535",0,0,1,2,2,5,"Alberta",7,"United Church"
"536",0,0,2,4,4,3,"Alberta",99,"Other Christian"
"537",0,0,4,3,3,4,"British Columbia",99,"Other Christian"
"538",0,0,1,3,3,3,"Alberta",99,"Other Christian"
"539",0,0,2,2,3,2,"British Columbia",7,"United Church"
"540",0,0,1,2,2,4,"British Columbia",99,"Anglican"
"541",1,0,99,2,3,2,"Manitoba",99,"Non-religious"
"542",0,1,2,2,3,2,"British Columbia",7,"Catholic"
"543",1,0,99,2,2,3,"British Columbia",99,"Non-religious"
"544",1,0,2,3,3,2,"Alberta",7,"Catholic"
"545",0,0,1,2,2,3,"British Columbia",99,"Other Christian"
"546",0,0,2,2,2,3,"Alberta",99,"Other"
"547",0,0,2,3,3,2,"Alberta",99,"Other Christian"
"548",1,0,1,3,4,4,"Alberta",99,"Other Christian"
"549",0,0,2,1,1,1,"Alberta",99,"Anglican"
"550",0,0,99,1,3,2,"Alberta",99,"Non-religious"
"551",0,0,99,1,3,2,"Alberta",99,"Non-religious"
"552",0,0,1,3,3,2,"Alberta",99,"Other Christian"
"553",1,0,2,3,3,3,"Alberta",99,"Other Christian"
"554",0,1,4,4,4,4,"Alberta",6,"Catholic"
"555",1,0,1,1,1,3,"Alberta",99,"Other Christian"
"556",0,0,99,3,3,2,"Alberta",99,"Non-religious"
"557",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"558",0,0,1,1,3,3,"Alberta",6,"Catholic"
"559",1,1,1,1,3,4,"Alberta",4,"Catholic"
"560",0,0,99,2,2,2,"Alberta",99,"Non-religious"
"561",1,1,99,2,3,4,"Alberta",99,"Non-religious"
"562",0,0,99,1,4,1,"Alberta",99,"Non-religious"
"563",1,1,1,3,4,2,"British Columbia",99,"Other"
"564",1,1,99,3,2,2,"British Columbia",99,"Non-religious"
"565",1,0,1,3,4,4,"Alberta",99,"Other Christian"
"566",0,1,99,2,4,3,"British Columbia",99,"Non-religious"
"567",0,0,99,1,4,3,"Alberta",99,"Non-religious"
"568",1,1,99,2,3,2,"Alberta",99,"Non-religious"
"569",1,0,2,4,1,1,"Alberta",1,"Catholic"
"570",0,0,99,2,4,3,"Alberta",99,"Non-religious"
"571",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"572",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"573",0,0,99,3,2,1,"British Columbia",99,"Non-religious"
"574",0,0,99,2,1,3,"Alberta",99,"Non-religious"
"576",1,0,1,2,3,2,"Alberta",2,"Catholic"
"577",0,0,99,1,4,3,"Alberta",99,"Non-religious"
"578",0,0,99,4,4,1,"Alberta",99,"Non-religious"
"579",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"580",0,0,1,4,4,3,"British Columbia",10,"Catholic"
"581",0,0,99,1,3,4,"British Columbia",99,"Non-religious"
"582",0,0,1,1,3,1,"British Columbia",2,"Catholic"
"583",0,0,2,2,2,5,"British Columbia",8,"Catholic"
"585",0,0,4,4,2,2,"British Columbia",99,"Other Christian"
"586",0,0,99,3,4,3,"British Columbia",99,"Non-religious"
"587",1,1,99,2,4,2,"British Columbia",99,"Non-religious"
"588",0,0,99,3,3,4,"Alberta",99,"Non-religious"
"589",0,1,99,3,4,4,"Alberta",99,"Non-religious"
"590",0,0,2,2,3,3,"British Columbia",7,"United Church"
"591",1,1,4,4,2,3,"Alberta",99,"Other Christian"
"593",0,0,3,3,3,3,"Alberta",10,"Catholic"
"594",1,0,99,3,3,2,"British Columbia",99,"Non-religious"
"595",0,0,99,2,4,4,"Alberta",99,"Non-religious"
"596",0,0,4,2,1,2,"Alberta",99,"Jewish"
"597",1,0,1,2,4,4,"Alberta",99,"Jewish"
"598",0,0,2,2,3,4,"British Columbia",99,"Other Christian"
"599",1,0,99,2,3,3,"British Columbia",99,"Non-religious"
"600",0,1,1,2,2,3,"Alberta",99,"Other"
"601",0,1,4,2,1,2,"Alberta",9,"Catholic"
"602",1,1,99,1,4,4,"Alberta",99,"Non-religious"
"603",0,0,4,3,4,1,"Alberta",99,"Other Christian"
"604",0,0,99,3,4,3,"Alberta",99,"Non-religious"
"605",0,0,99,3,4,4,"Alberta",99,"Non-religious"
"606",1,0,2,3,4,2,"Alberta",99,"Jewish"
"607",0,0,1,1,3,3,"British Columbia",2,"United Church"
"608",1,0,1,1,3,2,"British Columbia",5,"Catholic"
"609",1,0,2,2,3,3,"Alberta",7,"Catholic"
"610",0,0,4,4,4,3,"Alberta",99,"Other Christian"
"611",1,0,1,1,4,5,"Alberta",99,"Anglican"
"612",1,0,1,3,3,2,"British Columbia",99,"Other Christian"
"613",1,0,99,1,4,3,"British Columbia",99,"Non-religious"
"614",1,0,4,3,3,2,"British Columbia",6,"Catholic"
"615",0,0,1,2,3,4,"British Columbia",99,"Buddhist"
"616",0,0,99,1,3,3,"British Columbia",99,"Non-religious"
"617",0,0,2,4,4,4,"Alberta",99,"Other Christian"
"618",0,0,1,4,4,3,"Alberta",99,"Other"
"619",0,0,2,4,3,4,"British Columbia",99,"Other Christian"
"620",1,0,1,1,3,3,"Alberta",99,"Anglican"
"621",0,0,99,1,4,3,"Alberta",99,"Non-religious"
"622",0,0,2,3,3,2,"British Columbia",99,"Other Christian"
"623",1,0,1,2,2,3,"Alberta",99,"Other"
"624",1,1,99,3,4,4,"Alberta",99,"Non-religious"
"625",0,0,99,1,4,2,"British Columbia",99,"Non-religious"
"626",0,1,1,1,4,3,"Alberta",4,"Catholic"
"627",0,1,99,2,4,2,"British Columbia",99,"Non-religious"
"628",1,1,99,3,4,1,"British Columbia",99,"Non-religious"
"629",1,1,1,2,2,3,"British Columbia",99,"Other Christian"
"630",1,1,4,4,4,5,"Alberta",99,"Other"
"631",0,0,1,2,3,3,"Alberta",6,"United Church"
"632",0,1,2,3,3,2,"Alberta",10,"Catholic"
"633",1,1,1,1,3,4,"Alberta",0,"Catholic"
"634",1,1,2,2,2,2,"Alberta",5,"United Church"
"635",0,0,99,1,4,2,"British Columbia",99,"Non-religious"
"637",1,0,2,2,2,4,"British Columbia",4,"Catholic"
"638",0,1,1,4,4,1,"Alberta",99,"Other Christian"
"639",0,0,99,4,4,3,"British Columbia",99,"Non-religious"
"640",0,0,99,2,4,1,"British Columbia",99,"Non-religious"
"641",1,1,99,2,3,1,"Alberta",99,"Non-religious"
"642",0,1,99,2,3,2,"Alberta",99,"Non-religious"
"643",0,1,4,4,4,4,"Alberta",99,"Other Christian"
"644",0,0,99,2,2,5,"British Columbia",99,"Non-religious"
"645",1,0,1,1,2,1,"Alberta",3,"Catholic"
"646",1,0,99,3,4,3,"British Columbia",99,"Non-religious"
"647",1,1,99,4,3,2,"Alberta",99,"Non-religious"
"648",0,0,1,1,2,2,"Alberta",99,"Anglican"
"649",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"650",0,0,1,1,3,1,"British Columbia",6,"Catholic"
"651",0,1,1,2,4,2,"British Columbia",8,"United Church"
"652",0,1,4,4,4,2,"British Columbia",8,"Catholic"
"653",0,1,99,2,3,2,"British Columbia",99,"Non-religious"
"654",0,0,99,3,4,4,"British Columbia",99,"Non-religious"
"655",0,0,99,3,4,4,"British Columbia",99,"Non-religious"
"656",0,0,99,1,3,3,"British Columbia",99,"Non-religious"
"657",0,0,99,1,2,3,"British Columbia",99,"Non-religious"
"658",0,0,99,1,3,3,"British Columbia",99,"Non-religious"
"659",1,0,99,2,2,4,"British Columbia",99,"Non-religious"
"660",0,0,99,1,2,1,"British Columbia",99,"Non-religious"
"661",0,0,99,3,3,1,"Alberta",99,"Non-religious"
"662",0,0,99,2,2,1,"British Columbia",99,"Non-religious"
"663",0,0,1,2,2,3,"British Columbia",7,"United Church"
"664",1,0,99,4,3,3,"British Columbia",99,"Non-religious"
"665",0,0,99,3,3,5,"British Columbia",99,"Non-religious"
"666",1,0,99,4,3,1,"British Columbia",99,"Non-religious"
"667",0,0,2,1,1,1,"Alberta",7,"Catholic"
"668",1,0,2,3,3,5,"Alberta",99,"Muslim"
"669",0,0,99,2,4,3,"Alberta",99,"Non-religious"
"670",0,0,1,1,4,3,"Alberta",0,"Catholic"
"671",0,0,1,3,3,3,"British Columbia",99,"Other Christian"
"672",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"673",1,0,3,4,4,5,"Alberta",99,"Anglican"
"674",0,0,1,4,3,3,"Alberta",99,"Buddhist"
"675",0,1,99,2,3,3,"Alberta",99,"Non-religious"
"676",0,1,2,1,4,2,"British Columbia",99,"Anglican"
"677",0,1,2,3,3,3,"British Columbia",99,"Other"
"678",0,0,1,2,3,3,"Alberta",5,"United Church"
"679",1,0,1,2,2,3,"Alberta",8,"Catholic"
"680",1,0,1,3,3,1,"Manitoba",6,"Catholic"
"681",0,0,2,2,2,2,"British Columbia",7,"United Church"
"682",0,0,2,2,2,5,"Alberta",99,"Other Christian"
"683",1,0,2,2,3,3,"Alberta",99,"Other"
"684",1,0,1,2,3,3,"British Columbia",2,"Catholic"
"685",1,0,1,2,4,3,"New Brunswick",99,"Other Christian"
"686",0,1,99,1,2,2,"British Columbia",99,"Non-religious"
"687",1,1,99,1,3,3,"New Brunswick",99,"Non-religious"
"688",0,0,99,3,3,5,"British Columbia",99,"Non-religious"
"689",0,0,99,1,3,3,"Alberta",99,"Non-religious"
"690",0,0,1,2,2,3,"British Columbia",99,"Other"
"691",1,0,1,1,1,5,"British Columbia",99,"Other Christian"
"692",1,1,1,1,1,4,"British Columbia",99,"Muslim"
"693",1,0,4,4,4,3,"Alberta",99,"Other"
"694",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"695",0,0,99,1,3,1,"Alberta",99,"Non-religious"
"696",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"697",0,0,2,3,4,3,"British Columbia",99,"Other Christian"
"699",0,1,1,1,3,3,"Alberta",8,"United Church"
"700",0,1,4,4,4,4,"Alberta",99,"Other Christian"
"701",0,1,2,2,3,2,"British Columbia",99,"Other Christian"
"702",0,1,1,1,4,5,"British Columbia",99,"Anglican"
"703",0,0,4,4,2,3,"Alberta",99,"Other Christian"
"704",0,0,1,3,3,3,"Alberta",5,"Catholic"
"705",0,1,1,2,4,3,"British Columbia",99,"Anglican"
"706",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"708",1,1,99,2,2,3,"British Columbia",99,"Non-religious"
"709",0,0,1,1,3,3,"Alberta",99,"Other"
"710",0,0,99,2,2,3,"British Columbia",99,"Non-religious"
"711",0,0,99,2,3,3,"Alberta",99,"Non-religious"
"712",0,0,3,3,4,3,"British Columbia",99,"Other Christian"
"713",0,0,1,2,2,3,"Alberta",6,"United Church"
"714",0,0,4,4,3,4,"Alberta",99,"Other Christian"
"715",1,0,99,1,2,2,"Alberta",99,"Non-religious"
"716",1,0,99,2,3,1,"British Columbia",99,"Non-religious"
"717",0,0,99,1,2,2,"British Columbia",99,"Non-religious"
"718",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"719",1,0,4,1,1,3,"Alberta",99,"Other Christian"
"720",1,0,2,2,3,3,"Alberta",99,"Other Christian"
"721",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"722",1,1,99,1,4,3,"Alberta",99,"Non-religious"
"723",1,1,99,3,1,2,"British Columbia",99,"Non-religious"
"724",1,0,4,3,2,3,"Alberta",8,"Catholic"
"725",0,1,2,1,2,3,"British Columbia",99,"Other Christian"
"727",0,0,3,2,3,2,"British Columbia",7,"United Church"
"728",1,0,99,2,2,3,"New Brunswick",99,"Non-religious"
"729",1,0,1,1,4,3,"British Columbia",99,"Anglican"
"731",1,0,2,4,3,3,"British Columbia",4,"Catholic"
"732",0,0,1,2,2,1,"British Columbia",99,"Anglican"
"733",1,0,99,3,2,1,"Manitoba",99,"Non-religious"
"734",1,0,99,3,2,3,"Alberta",99,"Non-religious"
"735",0,1,99,4,4,1,"British Columbia",99,"Non-religious"
"736",0,1,3,3,3,2,"British Columbia",99,"Other Christian"
"737",0,1,99,4,3,2,"British Columbia",99,"Non-religious"
"738",0,1,2,2,4,2,"British Columbia",99,"Anglican"
"739",1,0,1,1,3,4,"Alberta",9,"United Church"
"740",0,0,4,4,3,4,"British Columbia",99,"Other"
"741",1,0,1,1,4,2,"British Columbia",99,"Anglican"
"742",0,0,99,1,1,2,"British Columbia",99,"Non-religious"
"743",0,0,4,4,2,3,"British Columbia",99,"Other Christian"
"744",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"745",0,0,99,4,4,3,"British Columbia",99,"Non-religious"
"746",0,0,4,4,3,2,"Alberta",99,"Other"
"747",0,0,99,3,2,1,"British Columbia",99,"Non-religious"
"748",1,0,99,1,3,4,"British Columbia",99,"Non-religious"
"749",1,1,99,2,2,1,"Alberta",99,"Non-religious"
"750",1,0,4,1,1,2,"New Brunswick",7,"Catholic"
"751",0,1,99,3,3,2,"Alberta",99,"Non-religious"
"752",1,1,99,3,2,3,"Alberta",99,"Non-religious"
"753",1,1,4,2,2,3,"Alberta",99,"Other Christian"
"754",1,1,4,2,2,3,"British Columbia",6,"United Church"
"755",1,1,99,4,4,3,"British Columbia",99,"Non-religious"
"757",1,0,99,1,3,3,"Alberta",99,"Non-religious"
"758",0,0,2,4,3,4,"British Columbia",99,"Anglican"
"759",1,0,2,1,4,1,"British Columbia",99,"Anglican"
"760",0,1,99,2,3,1,"British Columbia",99,"Non-religious"
"761",1,1,1,3,4,1,"British Columbia",99,"Other Christian"
"762",1,1,1,2,3,3,"British Columbia",99,"Other"
"763",0,1,99,2,3,3,"British Columbia",99,"Non-religious"
"764",1,0,99,4,3,2,"Alberta",99,"Non-religious"
"765",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"766",1,0,2,1,2,3,"British Columbia",8,"Catholic"
"767",1,0,1,2,2,2,"British Columbia",99,"Anglican"
"768",1,0,2,4,4,3,"Alberta",8,"Catholic"
"769",0,0,1,1,3,3,"British Columbia",99,"Anglican"
"770",1,1,1,2,2,2,"British Columbia",10,"United Church"
"771",0,1,1,1,4,2,"British Columbia",5,"Catholic"
"772",0,1,1,3,4,2,"British Columbia",6,"Catholic"
"773",1,0,99,1,3,3,"Alberta",99,"Non-religious"
"774",0,0,1,2,2,2,"British Columbia",5,"United Church"
"775",1,1,4,3,3,3,"British Columbia",10,"Catholic"
"776",0,0,1,1,1,5,"Alberta",0,"Catholic"
"777",1,1,3,3,3,4,"British Columbia",99,"Anglican"
"778",0,1,99,2,3,3,"British Columbia",99,"Non-religious"
"779",0,0,99,2,2,3,"British Columbia",99,"Non-religious"
"780",0,0,99,1,1,3,"British Columbia",99,"Non-religious"
"781",1,0,2,3,3,2,"Alberta",99,"Other Christian"
"782",1,0,2,2,2,1,"British Columbia",99,"Other"
"783",0,0,1,2,4,3,"British Columbia",99,"Other"
"784",0,0,1,3,3,1,"British Columbia",8,"Catholic"
"785",0,0,2,1,1,2,"Newfoundland and Labrador",2,"Catholic"
"786",0,0,1,1,3,2,"British Columbia",99,"Anglican"
"787",0,0,99,3,3,2,"Alberta",99,"Non-religious"
"788",0,0,2,2,3,3,"Alberta",8,"Catholic"
"789",0,0,99,2,2,1,"Alberta",99,"Non-religious"
"790",0,0,99,3,4,2,"Alberta",99,"Non-religious"
"791",0,0,4,3,3,3,"British Columbia",5,"Catholic"
"793",1,0,1,2,3,1,"British Columbia",7,"Catholic"
"794",0,0,99,1,1,5,"British Columbia",99,"Non-religious"
"795",0,0,1,3,4,5,"Alberta",7,"Catholic"
"796",0,0,99,3,3,3,"Alberta",99,"Non-religious"
"797",0,0,1,2,2,3,"Alberta",99,"Other Christian"
"798",0,1,4,4,3,2,"British Columbia",9,"Catholic"
"799",0,1,99,3,3,3,"British Columbia",99,"Non-religious"
"800",1,1,99,1,3,2,"British Columbia",99,"Non-religious"
"801",0,1,99,4,4,1,"British Columbia",99,"Non-religious"
"802",1,0,2,3,3,3,"Alberta",99,"Other Christian"
"803",0,0,1,2,2,2,"British Columbia",99,"Other Christian"
"804",0,0,1,2,3,3,"British Columbia",99,"Other Christian"
"805",0,0,1,2,2,1,"Alberta",99,"Other Christian"
"806",1,0,99,3,3,3,"Alberta",99,"Non-religious"
"807",1,0,3,1,1,3,"New Brunswick",8,"Catholic"
"808",0,0,99,1,2,4,"Alberta",99,"Non-religious"
"809",1,0,2,1,3,3,"British Columbia",4,"Catholic"
"810",0,0,99,3,4,3,"British Columbia",99,"Non-religious"
"811",1,1,1,1,1,2,"British Columbia",99,"Muslim"
"812",1,1,2,2,2,2,"British Columbia",8,"Catholic"
"813",0,0,99,2,2,1,"British Columbia",99,"Non-religious"
"814",0,0,1,3,3,3,"British Columbia",8,"Catholic"
"815",1,0,4,3,3,3,"British Columbia",9,"Catholic"
"817",0,0,2,2,3,1,"Alberta",4,"Catholic"
"818",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"819",1,0,99,2,2,3,"British Columbia",99,"Non-religious"
"820",0,1,2,2,2,2,"Alberta",99,"Other Christian"
"821",0,1,4,3,3,3,"Alberta",10,"Catholic"
"822",1,1,99,2,2,2,"British Columbia",99,"Non-religious"
"825",1,1,99,3,3,2,"British Columbia",99,"Non-religious"
"826",0,1,99,2,2,3,"British Columbia",99,"Non-religious"
"827",1,0,1,1,4,3,"Newfoundland and Labrador",8,"United Church"
"828",0,0,99,2,4,2,"British Columbia",99,"Non-religious"
"830",0,1,1,2,1,1,"Alberta",0,"Catholic"
"831",1,1,99,3,3,1,"British Columbia",99,"Non-religious"
"832",1,0,1,1,3,2,"British Columbia",1,"Catholic"
"833",0,0,4,1,3,2,"British Columbia",99,"Other Christian"
"834",0,0,2,1,2,2,"British Columbia",99,"Other Christian"
"835",0,1,99,2,4,3,"British Columbia",99,"Non-religious"
"836",1,0,2,1,2,3,"British Columbia",4,"Catholic"
"837",1,0,1,3,4,3,"Newfoundland and Labrador",99,"Other Christian"
"838",0,0,1,1,2,4,"Newfoundland and Labrador",5,"United Church"
"839",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"840",1,0,99,2,2,3,"British Columbia",99,"Non-religious"
"841",0,0,99,1,3,4,"Alberta",99,"Non-religious"
"842",1,0,2,1,2,3,"British Columbia",7,"Catholic"
"843",1,0,2,3,1,5,"British Columbia",3,"United Church"
"844",1,0,1,1,3,2,"British Columbia",99,"Anglican"
"845",0,0,2,3,3,4,"British Columbia",99,"Other Christian"
"846",0,0,1,1,3,3,"British Columbia",99,"Other Christian"
"847",1,0,1,3,4,3,"British Columbia",99,"Anglican"
"848",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"849",0,0,4,4,4,4,"Alberta",99,"Other Christian"
"850",0,0,1,4,2,1,"British Columbia",99,"Buddhist"
"851",0,0,4,3,2,3,"British Columbia",99,"Other Christian"
"852",0,0,1,1,3,3,"British Columbia",5,"United Church"
"853",1,1,4,4,4,3,"British Columbia",99,"Other Christian"
"854",0,0,1,1,4,3,"British Columbia",2,"Catholic"
"855",1,0,4,3,3,3,"British Columbia",99,"Other Christian"
"856",0,0,1,2,3,2,"Nova Scotia",99,"Other Christian"
"857",1,0,2,3,4,5,"Nova Scotia",10,"Catholic"
"858",1,0,1,3,3,2,"British Columbia",99,"Anglican"
"859",1,0,4,4,3,1,"British Columbia",99,"Anglican"
"860",0,1,99,2,3,2,"British Columbia",99,"Non-religious"
"861",0,0,2,3,3,3,"British Columbia",99,"Other Christian"
"862",0,0,4,2,2,3,"Nova Scotia",10,"Catholic"
"863",0,0,1,2,4,4,"British Columbia",99,"Other Christian"
"864",1,0,99,3,3,4,"Nova Scotia",99,"Non-religious"
"866",1,0,99,3,3,2,"Nova Scotia",99,"Non-religious"
"867",0,0,99,2,4,3,"British Columbia",99,"Non-religious"
"868",0,0,4,3,3,3,"British Columbia",99,"Other Christian"
"870",0,0,2,3,4,3,"British Columbia",99,"Other"
"871",0,0,1,3,3,3,"British Columbia",99,"Other Christian"
"872",0,0,99,2,3,4,"British Columbia",99,"Non-religious"
"873",0,1,4,2,2,4,"Alberta",99,"Other Christian"
"874",0,0,1,2,4,3,"New Brunswick",99,"Other"
"875",0,0,99,3,3,3,"British Columbia",99,"Non-religious"
"876",1,1,3,2,3,4,"Alberta",8,"Catholic"
"877",0,1,2,3,2,1,"Alberta",9,"Catholic"
"878",0,0,99,1,3,4,"British Columbia",99,"Non-religious"
"879",0,1,99,3,4,4,"Alberta",99,"Non-religious"
"880",0,0,99,2,2,3,"British Columbia",99,"Non-religious"
"881",0,0,4,4,4,2,"British Columbia",99,"Other Christian"
"882",1,0,99,2,2,4,"British Columbia",99,"Non-religious"
"883",1,0,2,2,4,3,"British Columbia",9,"Catholic"
"884",0,0,2,1,1,3,"British Columbia",99,"Anglican"
"885",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"886",0,0,2,2,3,3,"British Columbia",99,"Other Christian"
"887",1,0,3,2,2,4,"British Columbia",6,"United Church"
"888",1,0,1,2,3,3,"British Columbia",6,"Catholic"
"889",0,0,99,4,4,1,"British Columbia",99,"Non-religious"
"890",0,0,99,1,3,2,"British Columbia",99,"Non-religious"
"891",0,0,99,2,3,3,"Manitoba",99,"Non-religious"
"892",0,0,99,3,4,2,"British Columbia",99,"Non-religious"
"894",1,0,99,3,3,5,"British Columbia",99,"Non-religious"
"895",1,0,1,2,3,2,"Manitoba",4,"United Church"
"896",0,0,1,1,2,1,"British Columbia",99,"Anglican"
"897",0,0,4,3,3,4,"British Columbia",99,"Buddhist"
"898",0,0,2,2,2,3,"Manitoba",99,"Other"
"899",1,0,4,4,4,2,"Manitoba",99,"Other Christian"
"900",0,1,1,2,2,1,"Manitoba",4,"Catholic"
"902",0,0,99,2,3,2,"British Columbia",99,"Non-religious"
"903",0,1,2,2,4,2,"Manitoba",8,"Catholic"
"904",0,0,99,1,2,1,"Manitoba",99,"Non-religious"
"905",0,0,2,3,2,3,"Nova Scotia",5,"Catholic"
"906",0,0,1,2,4,3,"Manitoba",99,"Other"
"907",1,0,2,3,4,3,"Manitoba",99,"Buddhist"
"908",0,1,4,4,3,2,"British Columbia",99,"Other Christian"
"910",1,0,99,3,3,3,"British Columbia",99,"Non-religious"
"911",1,0,99,4,4,1,"British Columbia",99,"Non-religious"
"912",0,1,99,2,2,2,"British Columbia",99,"Non-religious"
"913",0,0,99,2,3,3,"Alberta",99,"Non-religious"
"914",0,0,99,1,4,2,"British Columbia",99,"Non-religious"
"915",1,0,99,1,4,4,"British Columbia",99,"Non-religious"
"916",0,0,1,1,4,1,"Alberta",99,"Anglican"
"917",0,1,2,3,3,3,"British Columbia",6,"Catholic"
"918",1,0,1,1,3,2,"British Columbia",99,"Anglican"
"919",0,0,99,2,4,3,"Manitoba",99,"Non-religious"
"920",1,0,3,3,4,3,"Manitoba",99,"Other Christian"
"921",1,0,2,2,3,3,"Manitoba",3,"Catholic"
"922",1,0,99,2,3,2,"Manitoba",99,"Non-religious"
"923",0,0,99,4,4,3,"Manitoba",99,"Non-religious"
"924",0,0,1,1,3,3,"Alberta",3,"United Church"
"925",1,0,1,3,4,3,"Manitoba",99,"Other Christian"
"926",0,0,99,2,3,1,"Manitoba",99,"Non-religious"
"927",1,1,1,2,2,2,"Manitoba",99,"Other Christian"
"928",0,0,99,4,4,2,"Manitoba",99,"Non-religious"
"929",0,0,1,1,3,1,"Manitoba",0,"Catholic"
"930",1,0,1,2,2,2,"Manitoba",99,"Other Christian"
"931",0,0,99,2,2,3,"Manitoba",99,"Non-religious"
"932",0,0,4,3,3,3,"Nova Scotia",9,"Catholic"
"933",0,0,99,1,3,2,"Manitoba",99,"Non-religious"
"934",1,0,4,3,2,2,"Manitoba",99,"Other"
"935",1,0,99,4,4,3,"Manitoba",99,"Non-religious"
"936",0,0,1,3,2,1,"British Columbia",0,"Catholic"
"937",1,0,1,3,4,4,"Alberta",6,"Catholic"
"938",0,0,99,2,4,2,"British Columbia",99,"Non-religious"
"939",0,1,99,3,3,3,"Manitoba",99,"Non-religious"
"940",1,0,99,3,3,3,"Manitoba",99,"Non-religious"
"941",1,0,99,2,3,2,"Manitoba",99,"Non-religious"
"942",0,1,4,4,4,3,"Manitoba",99,"Other Christian"
"943",0,0,2,4,4,2,"Manitoba",10,"Catholic"
"944",0,1,99,3,3,3,"Manitoba",99,"Non-religious"
"945",1,0,1,3,3,3,"Manitoba",99,"Other Christian"
"946",0,0,2,3,3,3,"Manitoba",6,"Catholic"
"947",0,0,99,2,3,3,"Manitoba",99,"Non-religious"
"948",0,0,1,2,3,1,"Manitoba",99,"Other"
"949",1,0,99,1,1,1,"Manitoba",99,"Non-religious"
"950",1,1,2,2,3,2,"Manitoba",99,"Anglican"
"952",0,0,2,3,4,3,"Manitoba",99,"Other"
"953",0,0,99,2,3,3,"Manitoba",99,"Non-religious"
"955",0,1,2,2,4,2,"Alberta",4,"Catholic"
