"","Male","Bachelor","relfreq","religionlink","regionlink","moreno","province","ownchtrust","religion"
"110",1,0,99,1,2,2,"British Columbia",99,"Non-religious"
"111",1,0,2,3,2,1,"Quebec",5,"Catholic"
"112",1,1,99,3,4,5,"British Columbia",99,"Non-religious"
"113",1,1,99,2,4,2,"Nova Scotia",99,"Non-religious"
"114",1,0,2,3,3,3,"British Columbia",99,"Anglican"
"115",1,1,99,1,2,3,"Alberta",99,"Non-religious"
"116",1,1,4,4,3,1,"Alberta",99,"Buddhist"
"117",0,1,99,3,2,3,"Ontario",99,"Non-religious"
"119",0,1,2,1,2,5,"British Columbia",2,"Catholic"
"120",0,0,3,2,3,3,"Ontario",99,"Other Christian"
"121",0,1,4,4,4,3,"Ontario",99,"Other Christian"
"122",1,1,99,4,4,1,"Alberta",99,"Non-religious"
"123",1,1,1,2,3,4,"Alberta",4,"Catholic"
"124",0,1,4,4,4,2,"Manitoba",10,"Catholic"
"125",1,0,1,1,3,4,"Ontario",99,"Other Christian"
"126",1,0,99,2,2,1,"British Columbia",99,"Non-religious"
"127",1,1,99,2,3,2,"Ontario",99,"Non-religious"
"128",1,0,1,2,2,3,"Alberta",99,"Buddhist"
"129",1,1,99,2,1,2,"Ontario",99,"Non-religious"
"131",0,0,99,3,3,4,"British Columbia",99,"Non-religious"
"132",1,0,2,2,1,4,"British Columbia",8,"Catholic"
"133",0,1,99,3,3,3,"Ontario",99,"Non-religious"
"134",0,0,1,1,3,3,"Alberta",5,"United Church"
"135",0,0,99,2,3,3,"Alberta",99,"Non-religious"
"136",0,0,99,2,2,4,"Manitoba",99,"Non-religious"
"137",1,0,99,1,4,3,"British Columbia",99,"Non-religious"
"138",0,0,1,2,2,3,"Nova Scotia",99,"Other"
"139",1,0,1,3,4,3,"Nova Scotia",6,"Catholic"
"140",1,0,99,4,4,2,"British Columbia",99,"Non-religious"
"141",1,0,1,2,4,1,"British Columbia",99,"Other Christian"
"142",0,1,99,4,4,2,"British Columbia",99,"Non-religious"
"143",1,0,3,1,1,5,"British Columbia",2,"Catholic"
"144",0,0,99,2,4,3,"British Columbia",99,"Non-religious"
"145",1,0,1,4,4,5,"Alberta",99,"Other Christian"
"146",0,0,99,2,4,3,"British Columbia",99,"Non-religious"
"147",1,0,2,3,4,3,"Saskatchewan",99,"Other Christian"
"149",1,0,4,4,4,2,"Saskatchewan",99,"Other Christian"
"151",1,0,1,2,3,4,"Alberta",99,"Other Christian"
"152",1,0,1,4,4,3,"Alberta",99,"Other Christian"
"153",1,0,99,3,3,3,"Manitoba",99,"Non-religious"
"154",1,0,2,1,1,4,"Manitoba",99,"Anglican"
"155",0,0,1,3,4,4,"Alberta",99,"Other Christian"
"156",0,0,1,3,2,3,"New Brunswick",99,"Other"
"157",0,0,99,4,4,2,"Alberta",99,"Non-religious"
"158",0,0,1,4,4,3,"British Columbia",99,"Other"
"159",0,1,99,3,4,2,"Nova Scotia",99,"Non-religious"
"160",0,0,2,3,4,3,"British Columbia",99,"Buddhist"
"162",0,0,1,3,4,5,"Newfoundland and Labrador",8,"Catholic"
"163",0,1,99,3,4,1,"Nova Scotia",99,"Non-religious"
"164",0,0,1,2,4,5,"Newfoundland and Labrador",8,"Catholic"
"165",0,0,99,2,4,3,"British Columbia",99,"Non-religious"
"166",1,0,2,2,3,3,"Manitoba",99,"Other Christian"
"167",1,0,99,2,4,1,"Manitoba",99,"Non-religious"
"168",0,0,99,3,4,4,"Alberta",99,"Non-religious"
"169",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"170",0,1,1,4,4,4,"Newfoundland and Labrador",99,"Hindu"
"171",1,0,1,1,2,2,"Alberta",7,"Catholic"
"172",0,0,2,2,3,2,"Ontario",7,"Catholic"
"173",1,0,99,1,4,3,"Manitoba",99,"Non-religious"
"174",0,0,99,4,4,3,"Manitoba",99,"Non-religious"
"176",1,0,3,1,2,3,"Manitoba",7,"Catholic"
"177",1,0,99,3,3,2,"British Columbia",99,"Non-religious"
"178",0,0,1,4,4,3,"British Columbia",99,"Other"
"179",1,0,2,4,4,3,"Manitoba",99,"Other"
"180",0,0,99,1,3,3,"Newfoundland and Labrador",99,"Non-religious"
"181",1,0,1,2,2,2,"Ontario",6,"United Church"
"182",0,1,2,4,4,3,"British Columbia",99,"Other Christian"
"184",1,1,4,3,3,1,"Ontario",99,"Other Christian"
"185",0,1,4,4,3,2,"Alberta",99,"Other Christian"
"186",0,0,2,1,2,3,"Ontario",99,"Other Christian"
"187",0,0,99,2,2,3,"British Columbia",99,"Non-religious"
"188",1,0,4,2,2,1,"Ontario",99,"Other Christian"
"189",0,1,2,4,3,2,"Alberta",99,"Other Christian"
"190",0,1,4,3,3,1,"Alberta",8,"Catholic"
"191",0,0,4,3,2,1,"Alberta",99,"Other Christian"
"192",0,0,99,4,4,3,"Alberta",99,"Non-religious"
"193",1,1,1,3,3,2,"Alberta",99,"Muslim"
"194",1,1,4,3,3,3,"British Columbia",99,"Other"
"195",1,0,1,3,3,4,"British Columbia",8,"Catholic"
"196",1,1,4,2,2,2,"Ontario",99,"Other Christian"
"197",0,0,1,4,3,2,"British Columbia",99,"Other"
"198",0,1,4,3,3,3,"Ontario",99,"Other"
"199",1,0,3,2,2,2,"Quebec",3,"Catholic"
"200",0,1,2,3,3,4,"Newfoundland and Labrador",99,"Muslim"
"201",0,1,2,2,2,3,"Ontario",4,"Catholic"
"202",0,1,4,4,4,3,"Newfoundland and Labrador",99,"Anglican"
"203",0,0,99,2,2,1,"Quebec",99,"Non-religious"
"204",1,0,1,1,1,5,"Newfoundland and Labrador",8,"Catholic"
"205",1,0,1,2,2,3,"Ontario",99,"Other Christian"
"206",1,0,1,3,3,2,"Quebec",99,"Other Christian"
"207",0,0,99,4,4,3,"British Columbia",99,"Non-religious"
"208",0,0,99,3,3,2,"British Columbia",99,"Non-religious"
"210",1,1,2,2,3,3,"Manitoba",99,"Other Christian"
"212",1,1,2,1,2,1,"Alberta",99,"Other Christian"
"213",0,0,2,4,3,2,"Ontario",99,"Other Christian"
"214",0,0,2,1,1,1,"Ontario",7,"Catholic"
"218",1,0,3,2,4,2,"British Columbia",7,"United Church"
"219",1,0,99,1,1,5,"Newfoundland and Labrador",99,"Non-religious"
"221",0,0,1,3,4,3,"Ontario",7,"United Church"
"222",0,0,2,2,4,2,"Ontario",99,"Other Christian"
"223",1,0,4,4,4,4,"British Columbia",99,"Other Christian"
"224",1,0,2,3,4,1,"Ontario",99,"Anglican"
"225",0,1,99,3,4,1,"British Columbia",99,"Non-religious"
"226",1,0,99,2,4,3,"British Columbia",99,"Non-religious"
"227",0,0,1,3,3,3,"Ontario",5,"Catholic"
"228",1,0,2,2,3,3,"Ontario",8,"Catholic"
"229",0,0,99,3,4,3,"Alberta",99,"Non-religious"
"230",1,1,99,3,3,2,"Ontario",99,"Non-religious"
"232",1,1,2,2,3,3,"British Columbia",99,"Buddhist"
"233",1,0,99,3,3,2,"New Brunswick",99,"Non-religious"
"234",1,0,99,2,2,4,"Alberta",99,"Non-religious"
"235",1,0,99,1,4,4,"British Columbia",99,"Non-religious"
"236",1,0,99,1,4,3,"British Columbia",99,"Non-religious"
"237",0,0,99,3,4,2,"British Columbia",99,"Non-religious"
"238",1,0,2,2,3,1,"Ontario",8,"Catholic"
"239",0,0,1,2,2,2,"Ontario",5,"Catholic"
"240",0,0,3,3,2,2,"Ontario",99,"Muslim"
"241",0,1,1,4,3,1,"Nova Scotia",99,"Other"
"242",0,1,3,3,2,1,"Ontario",99,"Muslim"
"244",0,0,2,3,3,3,"Alberta",5,"Catholic"
"245",0,0,2,3,3,2,"British Columbia",99,"Buddhist"
"246",1,0,4,4,4,3,"British Columbia",99,"Other Christian"
"248",1,1,3,3,3,3,"Manitoba",99,"Muslim"
"249",0,0,1,3,3,2,"Alberta",99,"Hindu"
"250",0,1,2,3,3,2,"Ontario",99,"Buddhist"
"251",1,0,99,1,2,3,"Ontario",99,"Non-religious"
"252",0,0,4,2,3,2,"Ontario",99,"Muslim"
"253",0,0,2,2,3,3,"Ontario",6,"Catholic"
"254",0,0,1,1,4,3,"Ontario",10,"Catholic"
"255",0,0,4,4,4,3,"British Columbia",9,"United Church"
"256",1,0,2,2,3,2,"Quebec",7,"Catholic"
"257",0,1,1,2,2,3,"Alberta",5,"Catholic"
"258",0,0,99,2,2,3,"Nova Scotia",99,"Non-religious"
"259",0,1,99,1,3,1,"Quebec",99,"Non-religious"
"260",0,1,99,1,1,2,"British Columbia",99,"Non-religious"
"261",0,0,1,3,3,3,"British Columbia",10,"Catholic"
"262",1,0,2,3,3,3,"Ontario",99,"Muslim"
"263",0,0,2,4,4,3,"British Columbia",99,"Anglican"
"264",1,1,1,2,4,3,"British Columbia",99,"Buddhist"
"265",0,0,2,2,3,3,"Ontario",4,"Catholic"
"266",0,1,1,4,4,1,"British Columbia",99,"Other"
"267",0,0,99,3,2,4,"Alberta",99,"Non-religious"
"268",1,1,4,4,4,3,"Ontario",99,"Muslim"
"269",0,1,4,1,1,1,"Ontario",10,"Catholic"
"270",0,0,4,3,2,3,"Ontario",99,"Other Christian"
"271",0,0,4,4,4,3,"Ontario",7,"Catholic"
"272",0,1,2,2,2,4,"Quebec",99,"Muslim"
"273",0,0,3,2,3,1,"Manitoba",99,"Buddhist"
"274",1,1,99,3,3,3,"British Columbia",99,"Non-religious"
"275",0,0,99,2,3,4,"British Columbia",99,"Non-religious"
"276",0,0,99,2,3,3,"British Columbia",99,"Non-religious"
"277",1,1,2,4,4,3,"Alberta",99,"Other"
"278",1,0,2,2,2,2,"Quebec",99,"Other Christian"
"280",0,0,2,2,2,3,"Ontario",7,"Catholic"
"281",0,0,99,2,3,3,"Manitoba",99,"Non-religious"
"282",0,0,99,3,4,2,"Ontario",99,"Non-religious"
"283",0,1,4,3,3,2,"British Columbia",99,"Anglican"
"284",0,1,99,3,3,1,"Ontario",99,"Non-religious"
"285",0,0,1,2,2,3,"British Columbia",99,"Buddhist"
