"","SMS","male","Age","donated","Roma_Inf"
"9408","Greek Rights",0,37,0,0
"9409","Roma Rights",1,30,0,0
"9410","Roma Rights",1,58,0,0
"9411","Roma Rights",1,35,0,0
"9412","Neutral Rights",1,28,0,0
"9413","Roma Child",0,51,0,0
"9414","Roma Rights",1,38,0,0
"9415","Greek Child",0,30,0,0
"9416","Greek Rights",1,38,0,0
"9417","Roma Rights",0,38,0,0
"9418","Neutral Rights",0,32,0,0
"9419","Neutral Rights",0,31,0,0
"9420","Neutral Child",0,34,0,0
"9421","Neutral Rights",1,36,0,0
"9422","Greek Rights",1,51,0,0
"9423","Greek Child",1,38,0,0
"9424","Roma Rights",1,40,0,0
"9425","Neutral Child",0,37,0,0
"9426","Greek Rights",1,76,0,0
"9427","Neutral Child",1,65,0,0
"9428","Roma Rights",0,35,0,0
"9429","Neutral Rights",1,36,0,0
"9430","Greek Child",1,45,0,0
"9431","Roma Rights",1,38,0,0
"9432","Greek Rights",1,39,0,0
"9433","Neutral Child",1,40,0,0
"9434","Roma Child",0,30,0,0
"9435","Roma Rights",1,85,0,0
"9436","Neutral Child",1,49,0,0
"9437","Roma Child",1,29,0,0
"9438","Roma Rights",0,42,0,0
"9439","Roma Rights",1,52,0,0
"9440","Neutral Rights",0,39,0,0
"9441","Roma Rights",1,96,0,0
"9442","Neutral Child",1,28,0,0
"9443","Neutral Child",1,39,0,0
"9444","Greek Child",0,47,0,0
"9445","Neutral Child",0,34,0,0
"9446","Greek Rights",1,54,0,0
"9447","Greek Rights",1,37,0,0
"9448","Greek Child",0,37,0,0
"9449","Neutral Child",1,29,0,0
"9450","Roma Rights",1,40,0,0
"9451","Roma Child",1,30,0,0
"9452","Neutral Child",0,35,0,0
"9453","Neutral Child",1,37,0,0
"9454","Greek Child",1,44,0,0
"9455","Greek Child",1,41,0,0
"9456","Greek Child",1,34,0,0
"9457","Neutral Rights",1,30,0,0
"9458","Greek Rights",0,34,0,0
"9459","Greek Rights",1,39,0,0
"9460","Greek Child",1,44,0,0
"9461","Greek Rights",1,33,0,0
"9462","Greek Rights",0,30,0,0
"9463","Greek Child",0,36,0,0
"9464","Roma Child",1,34,0,0
"9465","Neutral Rights",0,43,0,0
"9466","Neutral Rights",1,30,0,0
"9467","Roma Rights",0,37,0,0
"9468","Roma Rights",0,56,0,0
"9469","Neutral Child",1,48,0,0
"9470","Greek Rights",1,42,0,0
"9471","Greek Child",0,38,0,0
"9472","Greek Child",0,34,0,0
"9473","Roma Child",1,41,0,0
"9474","Roma Rights",1,39,0,0
"9475","Neutral Child",1,34,0,0
"9476","Roma Rights",1,41,0,0
"9477","Greek Child",0,48,0,0
"9478","Neutral Child",0,46,0,0
"9479","Greek Child",1,37,0,0
"9480","Greek Child",1,37,0,0
"9481","Greek Child",1,37,0,0
"9482","Neutral Rights",0,47,0,0
"9483","Roma Child",1,42,0,0
"9484","Neutral Rights",0,33,0,0
"9485","Roma Child",0,82,0,0
"9486","Roma Rights",1,37,0,0
"9487","Greek Rights",1,52,0,0
"9488","Greek Child",0,37,0,0
"9489","Neutral Child",1,38,0,0
"9490","Neutral Child",1,38,0,0
"9491","Roma Child",0,34,0,0
"9492","Neutral Rights",0,32,0,0
"9493","Roma Child",1,29,0,0
"9494","Neutral Rights",1,37,0,0
"9495","Greek Child",0,41,0,0
"9496","Roma Rights",1,46,0,0
"9497","Greek Rights",1,45,0,0
"9498","Neutral Rights",0,32,0,0
"9499","Greek Rights",1,34,0,0
"9500","Neutral Rights",0,36,0,0
"9501","Neutral Child",1,64,0,0
"9502","Roma Rights",0,55,0,0
"9503","Roma Child",1,31,0,0
"9504","Neutral Rights",1,39,0,0
"9505","Greek Child",0,35,0,0
"9506","Roma Rights",1,33,0,0
"9507","Greek Child",0,34,0,0
"9508","Greek Rights",0,35,0,0
"9509","Roma Rights",1,38,0,0
"9510","Greek Child",1,34,0,0
"9511","Roma Child",1,35,0,0
"9512","Greek Rights",0,31,0,0
"9513","Greek Child",1,40,0,0
"9514","Greek Rights",1,40,0,0
"9515","Roma Child",0,35,0,0
"9516","Neutral Rights",1,40,0,0
"9517","Greek Child",0,40,0,0
"9518","Neutral Rights",1,47,0,0
"9519","Greek Rights",1,96,0,0
"9520","Greek Child",0,33,0,0
"9521","Neutral Child",1,32,0,0
"9522","Neutral Child",1,89,0,0
"9523","Roma Rights",0,38,0,0
"9524","Roma Rights",1,46,0,0
"9525","Greek Child",1,36,0,0
"9526","Roma Rights",1,31,0,0
"9527","Neutral Child",0,36,0,0
"9528","Greek Rights",1,47,0,0
"9529","Roma Rights",1,37,0,0
"9530","Greek Rights",0,45,0,0
"9531","Roma Child",1,31,0,0
"9532","Greek Child",1,36,0,0
"9533","Greek Rights",1,39,0,0
"9534","Neutral Rights",1,26,0,0
"9535","Roma Rights",0,31,0,0
"9536","Greek Child",1,50,0,0
"9537","Greek Rights",1,40,0,0
"9538","Neutral Child",1,49,0,0
"9539","Neutral Rights",0,41,0,0
"9540","Greek Rights",1,39,0,0
"9541","Greek Child",1,30,0,0
"9542","Greek Rights",1,41,0,0
"9543","Greek Child",0,40,0,0
"9544","Neutral Child",1,37,0,0
"9545","Greek Child",1,36,0,0
"9546","Greek Rights",1,46,0,0
"9547","Roma Child",0,36,0,0
"9548","Neutral Rights",1,35,0,0
"9549","Neutral Child",1,45,0,0
"9550","Greek Child",1,42,0,0
"9551","Greek Rights",1,25,0,0
"9552","Greek Child",1,33,0,0
"9553","Roma Rights",0,37,0,0
"9554","Greek Rights",0,39,0,0
"9555","Roma Child",0,36,0,0
"9556","Greek Rights",1,31,0,0
"9557","Neutral Rights",1,45,0,0
"9558","Roma Rights",0,34,0,0
"9559","Roma Child",1,40,0,0
"9560","Greek Rights",1,36,0,0
"9561","Roma Rights",1,80,0,0
"9562","Greek Child",1,49,0,0
"9563","Greek Rights",0,35,0,0
"9564","Greek Child",0,45,0,0
"9565","Roma Child",1,31,0,0
"9566","Greek Child",0,42,0,0
"9567","Roma Rights",1,35,0,0
"9568","Greek Child",0,34,0,0
"9569","Roma Child",0,48,0,0
"9570","Roma Child",1,34,0,0
"9571","Greek Child",0,27,0,0
"9572","Roma Child",0,30,0,0
"9573","Roma Rights",1,34,0,0
"9574","Roma Child",1,42,0,0
"9575","Neutral Rights",1,38,0,0
"9576","Neutral Child",0,26,0,0
"9577","Neutral Rights",0,38,0,0
"9578","Neutral Rights",1,42,0,0
"9579","Roma Child",1,46,0,0
"9580","Neutral Rights",1,34,0,0
"9581","Roma Rights",1,47,0,0
"9582","Neutral Child",1,37,0,0
"9583","Greek Rights",0,67,0,0
"9584","Greek Child",1,39,0,0
"9585","Greek Child",1,33,0,0
"9586","Roma Rights",0,34,0,0
"9587","Neutral Child",1,37,0,0
"9588","Greek Child",1,40,0,0
"9589","Greek Rights",1,36,0,0
"9590","Greek Rights",1,32,0,0
"9591","Greek Rights",0,29,0,0
"9592","Roma Child",1,32,0,0
"9593","Neutral Child",0,41,0,0
"9594","Greek Child",1,33,0,0
"9595","Neutral Rights",1,32,0,0
"9596","Neutral Rights",0,96,0,0
"9597","Greek Child",1,35,0,0
"9598","Roma Rights",1,42,0,0
"9599","Greek Rights",1,42,0,0
"9600","Greek Rights",1,36,0,0
"9601","Greek Child",0,33,0,0
"9602","Greek Rights",0,47,0,0
"9603","Greek Rights",0,37,0,0
"9604","Neutral Rights",0,35,0,0
"9605","Greek Rights",1,36,0,0
"9606","Roma Child",1,44,0,0
"9607","Roma Child",0,28,0,0
"9608","Roma Child",1,40,0,0
"9609","Roma Child",1,28,0,0
"9610","Roma Rights",1,40,0,0
"9611","Roma Rights",1,34,0,0
"9612","Greek Child",0,38,0,0
"9613","Roma Child",1,44,0,0
"9614","Roma Rights",1,31,0,0
"9615","Greek Child",1,39,0,0
"9616","Greek Rights",1,30,0,0
"9617","Roma Rights",0,62,0,0
"9618","Roma Rights",1,37,0,0
"9619","Greek Child",0,35,0,0
"9620","Roma Child",1,37,0,0
"9621","Greek Rights",0,45,0,0
"9622","Greek Rights",1,96,0,0
"9623","Greek Rights",0,37,0,0
"9624","Neutral Child",0,29,0,0
"9625","Neutral Child",1,56,0,0
"9626","Greek Rights",0,31,0,0
"9627","Neutral Child",0,30,0,0
"9628","Greek Rights",1,32,0,0
"9629","Roma Rights",0,29,0,0
"9630","Greek Child",1,36,0,0
"9631","Greek Child",0,44,0,0
"9632","Neutral Rights",1,48,0,0
"9633","Neutral Child",0,34,0,0
"9634","Greek Rights",1,40,0,0
"9635","Neutral Rights",1,37,0,0
"9636","Roma Rights",1,49,0,0
"9637","Roma Child",1,45,0,0
"9638","Greek Rights",1,40,0,0
"9639","Roma Rights",1,29,0,0
"9640","Greek Rights",0,45,0,0
"9641","Greek Rights",1,33,0,0
"9642","Neutral Rights",1,35,0,0
"9643","Neutral Rights",1,33,0,0
"9644","Greek Child",1,33,0,0
"9645","Greek Child",0,35,0,0
"9646","Roma Rights",1,41,0,0
"9647","Roma Child",1,34,0,0
"9648","Greek Rights",1,40,0,0
"9649","Neutral Child",0,65,0,0
"9650","Roma Child",0,34,0,0
"9651","Roma Child",0,28,0,0
"9652","Greek Rights",1,31,0,0
"9653","Roma Child",1,40,0,0
"9654","Neutral Rights",1,33,0,0
"9655","Greek Rights",0,32,0,0
"9656","Neutral Rights",1,26,0,0
"9657","Greek Rights",1,32,0,0
"9658","Roma Child",0,43,0,0
"9659","Greek Child",1,30,0,0
"9660","Greek Child",0,28,0,0
"9661","Greek Rights",1,69,0,0
"9662","Roma Rights",1,41,0,0
"9663","Roma Rights",1,34,0,0
"9664","Neutral Rights",0,39,0,0
"9665","Roma Rights",0,47,0,0
"9666","Neutral Rights",1,49,0,0
"9667","Neutral Rights",1,39,0,0
"9668","Roma Rights",1,96,0,0
"9669","Greek Rights",1,37,0,0
"9670","Neutral Rights",1,33,0,0
"9671","Roma Child",1,36,0,0
"9672","Neutral Child",1,38,0,0
"9673","Greek Child",1,35,0,0
"9674","Greek Rights",1,32,0,0
"9675","Roma Child",1,27,0,0
"9676","Greek Child",0,38,0,0
"9677","Roma Rights",1,45,0,0
"9678","Roma Rights",0,34,0,0
"9679","Greek Rights",1,96,0,0
"9680","Greek Rights",1,41,0,0
"9681","Neutral Child",0,34,0,0
"9682","Roma Child",1,52,0,0
"9683","Greek Rights",1,78,0,0
"9684","Neutral Rights",0,31,0,0
"9685","Roma Child",0,32,0,0
"9686","Roma Child",1,32,0,0
"9687","Neutral Child",0,30,0,0
"9688","Greek Child",0,35,0,0
"9689","Greek Child",1,28,0,0
"9690","Neutral Rights",1,31,0,0
"9691","Greek Child",1,31,0,0
"9692","Neutral Child",1,34,0,0
"9693","Neutral Child",1,29,0,0
"9694","Greek Child",0,39,0,0
"9695","Neutral Child",0,34,0,0
"9696","Greek Child",0,30,0,0
"9697","Neutral Child",1,31,0,0
"9698","Neutral Child",1,46,0,0
"9699","Neutral Child",1,25,0,0
"9700","Neutral Rights",1,37,0,0
"9701","Greek Rights",1,46,0,0
"9702","Greek Child",0,36,0,0
"9703","Neutral Rights",0,42,0,0
"9704","Neutral Child",1,42,0,0
"9705","Greek Rights",0,37,0,0
"9706","Roma Rights",0,37,0,0
"9707","Neutral Rights",1,28,0,0
"9708","Greek Child",1,41,0,0
"9709","Greek Rights",1,36,0,0
"9710","Greek Child",1,27,0,0
"9711","Neutral Child",1,29,0,0
"9712","Roma Child",0,30,0,0
"9713","Greek Child",0,33,0,0
"9714","Neutral Rights",1,37,0,0
"9715","Neutral Child",1,37,0,0
"9716","Greek Child",1,33,0,0
"9717","Greek Rights",1,39,0,0
"9718","Roma Child",1,32,0,0
"9719","Neutral Rights",1,30,0,0
"9720","Neutral Child",0,36,0,0
"9721","Greek Child",1,29,0,0
"9722","Neutral Rights",0,32,0,0
"9723","Greek Rights",0,27,0,0
"9724","Roma Rights",1,46,0,0
"9725","Roma Rights",1,39,0,0
"9726","Neutral Rights",0,31,0,0
"9727","Neutral Child",0,34,0,0
"9728","Greek Child",0,64,0,0
"9729","Greek Rights",0,38,0,0
"9730","Greek Child",0,38,0,0
"9731","Roma Child",1,44,0,0
"9732","Greek Child",0,34,0,0
"9733","Roma Rights",0,40,0,0
"9734","Greek Child",1,27,0,0
"9735","Roma Child",1,33,0,0
"9736","Greek Child",1,35,0,0
"9737","Neutral Child",1,33,0,0
"9738","Neutral Child",0,50,0,0
"9739","Roma Child",1,32,0,0
"9740","Greek Child",1,39,0,0
"9741","Greek Child",0,30,0,0
"9742","Greek Child",1,34,0,0
"9743","Greek Rights",0,43,0,0
"9744","Greek Rights",1,34,0,0
"9745","Roma Rights",1,39,0,0
"9746","Greek Rights",1,33,0,0
"9747","Roma Child",0,58,0,0
"9748","Neutral Child",0,40,0,0
"9749","Greek Child",0,34,0,0
"9750","Roma Child",0,52,0,0
"9751","Roma Rights",1,47,0,0
"9752","Greek Child",1,53,0,0
"9753","Neutral Child",0,38,0,0
"9754","Roma Rights",1,43,0,0
"9755","Neutral Child",1,33,0,0
"9756","Greek Child",1,28,0,0
"9757","Roma Rights",1,33,0,0
"9758","Greek Rights",0,32,0,0
"9759","Greek Child",1,40,0,0
"9760","Neutral Child",1,44,0,0
"9761","Greek Rights",1,31,0,0
"9762","Greek Rights",1,45,0,0
"9763","Roma Child",1,36,0,0
"9764","Greek Rights",0,43,0,0
"9765","Neutral Child",0,31,0,0
"9766","Neutral Child",1,53,0,0
"9767","Roma Rights",0,37,0,0
"9768","Greek Child",1,39,0,0
"9769","Roma Child",1,35,0,0
"9770","Roma Rights",1,31,0,0
"9771","Roma Child",0,32,0,0
"9772","Greek Child",1,29,0,0
"9773","Roma Rights",0,36,0,0
"9774","Greek Rights",0,30,0,0
"9775","Greek Child",1,65,0,0
"9776","Roma Rights",1,47,0,0
"9777","Greek Rights",1,35,0,0
"9778","Roma Rights",1,36,0,0
"9779","Roma Rights",1,39,0,0
"9780","Neutral Child",1,46,0,0
"9781","Roma Rights",0,41,0,0
"9782","Greek Child",1,41,0,0
"9783","Greek Child",1,39,0,0
"9784","Roma Rights",1,38,0,0
"9785","Greek Rights",1,37,0,0
"9786","Neutral Child",1,35,0,0
"9787","Roma Child",0,52,0,0
"9788","Neutral Child",1,44,0,0
"9789","Greek Rights",1,78,0,0
"9790","Greek Child",1,28,0,0
"9791","Greek Rights",1,34,0,0
"9792","Roma Child",1,29,0,0
"9793","Neutral Rights",1,34,0,0
"9794","Greek Rights",1,51,0,0
"9795","Roma Rights",0,39,0,0
"9796","Roma Rights",1,52,0,0
"9797","Roma Rights",0,42,0,0
"9798","Neutral Child",1,30,0,0
"9799","Roma Rights",1,56,0,0
"9800","Greek Child",1,39,0,0
"9801","Roma Rights",1,66,0,0
"9802","Greek Child",0,39,0,0
"9803","Roma Child",1,57,0,0
"9804","Neutral Rights",0,35,0,0
"9805","Neutral Rights",1,39,0,0
"9806","Greek Rights",1,30,0,0
"9807","Greek Rights",1,56,0,0
"9808","Roma Child",1,39,0,0
"9809","Roma Child",1,34,0,0
"9810","Roma Child",1,46,0,0
"9811","Roma Rights",1,36,0,0
"9812","Neutral Rights",1,37,0,0
"9813","Roma Child",1,96,0,0
"9814","Roma Child",1,34,0,0
"9815","Neutral Rights",1,36,0,0
"9816","Roma Rights",0,42,0,0
"9817","Roma Child",0,36,0,0
"9818","Greek Rights",1,54,0,0
"9819","Greek Rights",0,30,0,0
"9820","Greek Rights",0,30,0,0
"9821","Roma Child",1,31,0,0
"9822","Neutral Child",1,30,0,0
"9823","Roma Rights",1,26,0,0
"9824","Neutral Rights",1,28,0,0
"9825","Neutral Child",1,47,0,0
"9826","Roma Rights",0,36,0,0
"9827","Greek Rights",1,26,0,0
"9828","Roma Rights",1,30,0,0
"9829","Greek Rights",1,41,0,0
"9830","Greek Child",0,37,0,0
"9831","Roma Rights",1,54,0,0
"9832","Greek Child",1,36,0,0
"9833","Greek Rights",1,40,0,0
"9834","Greek Rights",1,54,0,0
"9835","Roma Child",0,35,0,0
"9836","Neutral Rights",1,33,0,0
"9837","Greek Child",1,32,0,0
"9838","Roma Rights",0,35,0,0
"9839","Greek Rights",1,33,0,0
"9840","Neutral Rights",1,33,0,0
"9841","Roma Rights",1,27,0,0
"9842","Greek Rights",1,52,0,0
"9843","Greek Child",0,35,0,0
"9844","Neutral Child",1,31,0,0
"9845","Roma Child",1,47,0,0
"9846","Greek Rights",0,23,0,0
"9847","Greek Child",0,41,0,0
"9848","Greek Rights",1,31,0,0
"9849","Greek Child",0,49,0,0
"9850","Greek Rights",1,40,0,0
"9851","Roma Rights",0,32,0,0
"9852","Neutral Child",0,50,0,0
"9853","Greek Rights",1,34,0,0
"9854","Greek Rights",0,37,0,0
"9855","Roma Child",1,36,0,0
"9856","Roma Child",1,37,0,0
"9857","Roma Child",1,46,0,0
"9858","Neutral Rights",0,42,0,0
"9859","Greek Rights",0,32,0,0
"9860","Greek Child",1,50,0,0
"9861","Greek Rights",1,36,0,0
"9862","Roma Child",1,33,0,0
"9863","Roma Rights",0,33,0,0
"9864","Greek Child",1,96,0,0
"9865","Greek Rights",1,46,0,0
"9866","Roma Child",0,40,0,0
"9867","Roma Rights",0,54,0,0
"9868","Greek Rights",1,34,0,0
"9869","Roma Rights",1,39,0,0
"9870","Neutral Child",1,37,0,0
"9871","Roma Rights",1,38,0,0
"9872","Greek Rights",1,40,0,0
"9873","Neutral Child",1,39,0,0
"9874","Roma Rights",0,28,0,0
"9875","Neutral Child",0,33,0,0
"9876","Neutral Rights",1,28,0,0
"9877","Neutral Rights",0,30,0,0
"9878","Roma Child",1,53,0,0
"9879","Roma Child",0,30,0,0
"9880","Roma Child",1,33,0,0
"9881","Roma Rights",1,31,0,0
"9882","Neutral Rights",0,32,0,0
"9883","Greek Child",1,44,0,0
"9884","Roma Rights",1,50,0,0
"9885","Roma Rights",1,29,0,0
"9886","Roma Child",0,40,0,0
"9887","Greek Child",1,37,0,0
"9888","Greek Rights",0,54,0,0
"9889","Roma Rights",1,33,0,0
"9890","Greek Child",1,34,0,0
"9891","Greek Child",1,49,0,0
"9892","Greek Child",1,53,0,0
"9893","Roma Child",0,43,0,0
"9894","Greek Child",1,30,0,0
"9895","Neutral Child",1,36,0,0
"9896","Neutral Rights",1,35,0,0
"9897","Greek Rights",0,37,0,0
"9898","Roma Rights",0,33,0,0
"9899","Greek Child",0,35,0,0
"9900","Roma Rights",0,33,0,0
"9901","Neutral Child",1,38,0,0
"9902","Roma Rights",1,57,0,0
"9903","Greek Child",1,35,0,0
"9904","Neutral Rights",1,48,0,0
"9905","Neutral Child",0,33,0,0
"9906","Greek Child",0,30,0,0
"9907","Neutral Rights",1,33,0,0
"9908","Roma Child",1,42,0,0
"9909","Greek Rights",1,38,0,0
"9910","Roma Rights",1,42,0,0
"9911","Roma Child",1,42,0,0
"9912","Roma Child",0,30,0,0
"9913","Greek Rights",0,39,0,0
"9914","Roma Rights",0,35,0,0
"9915","Greek Rights",1,29,0,0
"9916","Neutral Rights",1,37,0,0
"9917","Roma Rights",1,55,0,0
"9918","Greek Child",1,96,0,0
"9919","Neutral Rights",0,56,0,0
"9920","Roma Rights",1,36,0,0
"9921","Greek Child",1,35,0,0
"9922","Roma Rights",0,34,0,0
"9923","Neutral Child",1,36,0,0
"9924","Roma Rights",1,61,0,0
"9925","Greek Child",1,31,0,0
"9926","Roma Rights",1,34,0,0
"9927","Neutral Child",0,35,0,0
"9928","Roma Rights",1,45,0,0
"9929","Greek Rights",0,35,0,0
"9930","Greek Rights",1,35,0,0
"9931","Greek Rights",0,40,0,0
"9932","Neutral Child",0,46,0,0
"9933","Roma Child",1,38,0,0
"9934","Neutral Rights",0,35,0,0
"9935","Neutral Rights",0,33,0,0
"9936","Roma Rights",1,52,0,0
"9937","Roma Child",1,36,0,0
"9938","Neutral Child",1,36,0,0
"9939","Roma Child",1,49,0,0
"9940","Neutral Rights",0,69,0,0
"9941","Roma Child",1,36,0,0
"9942","Greek Rights",1,27,0,0
"9943","Roma Child",1,32,0,0
"9944","Neutral Child",0,33,0,0
"9945","Neutral Child",1,40,0,0
"9946","Roma Rights",0,40,0,0
"9947","Roma Child",0,33,0,0
"9948","Roma Child",1,33,0,0
"9949","Roma Rights",0,40,0,0
"9950","Neutral Child",1,32,0,0
"9951","Roma Rights",0,37,0,0
"9952","Greek Child",1,48,0,0
"9953","Neutral Rights",0,42,0,0
"9954","Neutral Rights",1,42,0,0
"9955","Roma Rights",1,55,0,0
"9956","Roma Child",1,30,0,0
"9957","Neutral Child",0,29,0,0
"9958","Greek Child",1,30,0,0
"9959","Neutral Child",0,35,0,0
"9960","Greek Rights",1,40,0,0
"9961","Greek Child",1,31,0,0
"9962","Neutral Child",1,36,0,0
"9963","Greek Child",0,38,0,0
"9964","Greek Rights",1,57,0,0
"9965","Greek Child",1,30,0,0
"9966","Greek Child",1,39,0,0
"9967","Greek Rights",1,48,0,0
"9968","Neutral Rights",0,36,0,0
"9969","Greek Rights",1,30,0,0
"9970","Greek Child",1,38,0,0
"9971","Greek Child",0,35,0,0
"9972","Roma Child",0,27,0,0
"9973","Roma Child",1,45,0,0
"9974","Greek Child",0,29,0,0
"9975","Greek Child",1,34,0,0
"9976","Roma Rights",0,24,0,0
"9977","Greek Rights",1,41,0,0
"9978","Greek Child",0,38,0,0
"9979","Neutral Rights",1,52,0,0
"9980","Roma Rights",1,38,0,0
"9981","Greek Child",0,46,0,0
"9982","Neutral Child",1,28,0,0
"9983","Neutral Rights",1,26,0,0
"9984","Greek Child",1,56,0,0
"9985","Neutral Child",1,33,0,0
"9986","Neutral Child",1,31,0,0
"9987","Neutral Child",1,26,0,0
"9988","Greek Child",1,34,0,0
"9989","Roma Child",0,43,0,0
"9990","Greek Child",1,65,0,0
"9991","Neutral Rights",0,34,0,0
"9992","Greek Rights",0,28,0,0
"9993","Greek Child",1,40,0,0
"9994","Greek Child",0,49,0,0
"9995","Roma Child",1,35,0,0
"9996","Greek Child",0,35,0,0
"9997","Greek Rights",1,35,0,0
"9998","Neutral Rights",1,37,0,0
"9999","Roma Child",0,57,0,0
"10000","Roma Rights",1,36,0,0
"10001","Neutral Child",0,37,0,0
"10002","Neutral Child",1,39,0,0
"10003","Roma Child",1,40,0,0
"10004","Neutral Rights",0,44,0,0
"10005","Roma Child",0,48,0,0
"10006","Roma Rights",0,32,0,0
"10007","Roma Rights",0,30,0,0
"10008","Greek Rights",1,33,0,0
"10009","Roma Child",1,43,0,0
"10010","Roma Rights",1,47,0,0
"10011","Greek Rights",0,60,0,0
"10012","Neutral Rights",0,47,0,0
"10013","Greek Rights",1,42,0,0
"10014","Roma Child",1,33,0,0
"10015","Neutral Rights",1,48,0,0
"10016","Greek Rights",1,36,0,0
"10017","Greek Child",1,92,0,0
"10018","Neutral Child",0,34,0,0
"10019","Neutral Rights",1,50,0,0
"10020","Neutral Child",0,59,0,0
"10021","Roma Rights",0,33,0,0
"10022","Neutral Rights",0,36,0,0
"10023","Roma Rights",1,28,0,0
"10024","Greek Child",1,36,0,0
"10025","Greek Child",1,36,0,0
"10026","Roma Child",1,33,0,0
"10027","Roma Rights",1,32,0,0
"10028","Greek Rights",0,39,0,0
"10029","Neutral Child",1,39,0,0
"10030","Greek Rights",1,35,0,0
"10031","Roma Child",0,51,0,0
"10032","Roma Child",0,30,0,0
"10033","Greek Child",0,32,0,0
"10034","Greek Rights",1,41,0,0
"10035","Neutral Rights",0,30,0,0
"10036","Greek Child",0,59,0,0
"10037","Neutral Rights",1,48,0,0
"10038","Roma Child",1,41,0,0
"10039","Greek Rights",1,35,0,0
"10040","Neutral Child",1,37,0,0
"10041","Roma Child",1,34,0,0
"10042","Roma Child",0,33,0,0
"10043","Roma Child",0,52,0,0
"10044","Neutral Rights",1,31,0,0
"10045","Neutral Child",1,33,0,0
"10046","Greek Rights",0,44,0,0
"10047","Roma Rights",1,37,0,0
"10048","Roma Child",1,55,0,0
"10049","Greek Child",1,30,0,0
"10050","Roma Rights",1,31,0,0
"10051","Roma Child",0,29,0,0
"10052","Roma Child",0,34,0,0
"10053","Roma Rights",0,37,0,0
"10054","Roma Child",0,96,0,0
"10055","Greek Child",1,29,0,0
"10056","Roma Rights",1,29,0,0
"10057","Roma Rights",0,47,0,0
"10058","Greek Rights",1,38,0,0
"10059","Greek Rights",0,67,0,0
"10060","Greek Rights",1,47,0,0
"10061","Greek Child",1,56,0,0
"10062","Roma Child",1,50,0,0
"10063","Neutral Rights",1,30,0,0
"10064","Roma Child",1,39,0,0
"10065","Neutral Child",1,40,0,0
"10066","Greek Rights",1,38,0,0
"10067","Roma Rights",0,38,0,0
"10068","Roma Rights",1,36,0,0
"10069","Greek Child",0,39,0,0
"10070","Roma Rights",1,38,0,0
"10071","Greek Rights",1,33,0,0
"10072","Roma Rights",0,46,0,0
"10073","Roma Rights",0,37,0,0
"10074","Greek Child",1,29,0,0
"10075","Greek Child",1,61,0,0
"10076","Neutral Child",1,34,0,0
"10077","Greek Child",0,38,0,0
"10078","Neutral Rights",1,41,0,0
"10079","Roma Child",1,51,0,0
"10080","Greek Child",1,44,0,0
"10081","Greek Child",1,42,0,0
"10082","Roma Child",1,44,0,0
"10083","Neutral Rights",0,39,0,0
"10084","Greek Rights",1,44,0,0
"10085","Roma Child",1,38,0,0
"10086","Roma Rights",1,38,0,0
"10087","Roma Child",1,34,0,0
"10088","Roma Rights",1,33,0,0
"10089","Greek Rights",1,25,0,0
"10090","Neutral Rights",0,40,0,0
"10091","Greek Child",0,35,0,0
"10092","Greek Child",0,36,0,0
"10093","Greek Child",1,40,0,0
"10094","Roma Rights",1,36,1,0
"10095","Neutral Child",0,38,0,0
"10096","Greek Rights",1,29,0,0
"10097","Greek Rights",1,40,0,0
"10098","Neutral Child",1,31,0,0
"10099","Neutral Child",1,43,0,0
"10100","Roma Child",1,36,0,0
"10101","Greek Rights",1,38,0,0
"10102","Neutral Child",1,36,0,0
"10103","Roma Rights",1,50,0,0
"10104","Greek Rights",1,35,0,0
"10105","Neutral Rights",1,38,0,0
"10106","Greek Child",1,33,0,0
"10107","Roma Child",0,40,0,0
"10108","Greek Rights",0,36,0,0
"10109","Roma Child",1,30,0,0
"10110","Neutral Rights",1,31,0,0
"10111","Neutral Rights",0,96,0,0
"10112","Roma Child",1,45,0,0
"10113","Greek Child",0,35,0,0
"10114","Roma Child",1,33,0,0
"10115","Greek Child",1,27,0,0
"10116","Greek Child",1,31,0,0
"10117","Greek Rights",0,37,0,0
"10118","Greek Child",1,49,0,0
"10119","Roma Child",1,39,0,0
"10120","Greek Rights",0,32,0,0
"10121","Neutral Rights",0,34,0,0
"10122","Greek Child",0,32,0,0
"10123","Greek Rights",1,31,0,0
"10124","Roma Rights",1,29,0,0
"10125","Roma Child",1,56,0,0
"10126","Roma Child",1,40,0,0
"10127","Greek Rights",0,39,0,0
"10128","Greek Rights",1,32,0,0
"10129","Neutral Rights",1,87,0,0
"10130","Roma Rights",0,46,0,0
"10131","Greek Rights",0,46,0,0
"10132","Neutral Child",0,41,0,0
"10133","Greek Child",1,45,0,0
"10134","Greek Child",1,41,0,0
"10135","Roma Child",1,41,0,0
"10136","Roma Child",1,47,0,0
"10137","Greek Child",0,38,0,0
"10138","Roma Rights",0,35,0,0
"10139","Greek Rights",0,36,0,0
"10140","Greek Rights",0,35,0,0
"10141","Greek Child",1,39,0,0
"10142","Neutral Rights",0,35,0,0
"10143","Greek Rights",0,29,0,0
"10144","Roma Rights",1,30,0,0
"10145","Greek Child",1,36,0,0
"10146","Neutral Child",1,39,0,0
"10147","Neutral Child",1,31,0,0
"10148","Greek Child",1,43,0,0
"10149","Roma Child",1,38,0,0
"10150","Greek Rights",0,39,0,0
"10151","Greek Child",0,44,0,0
"10152","Greek Child",1,34,0,0
