"","SMS","male","Age","donated","Roma_Inf"
"180","Greek Child",1,32,0,0
"181","Greek Child",1,53,0,0
"182","Neutral Rights",1,55,0,0
"183","Greek Rights",0,29,0,0
"184","Roma Rights",1,53,0,0
"185","Roma Rights",0,36,0,0
"186","Greek Child",1,37,0,0
"187","Roma Child",1,35,0,0
"188","Roma Rights",0,37,0,0
"189","Greek Rights",1,37,0,0
"190","Greek Child",0,42,0,0
"191","Greek Child",1,48,0,0
"192","Greek Rights",1,46,0,0
"193","Roma Rights",1,33,0,0
"194","Greek Child",1,31,0,0
"195","Greek Rights",1,34,0,0
"196","Roma Rights",0,46,0,0
"197","Greek Rights",0,39,0,0
"198","Greek Child",1,30,0,0
"199","Roma Child",0,30,0,0
"200","Roma Child",1,37,0,0
"201","Greek Rights",0,29,0,0
"202","Roma Child",1,37,0,0
"203","Greek Child",0,43,0,0
"204","Greek Rights",1,46,0,0
"205","Greek Child",0,43,0,0
"206","Greek Child",1,43,0,0
"207","Greek Child",1,57,0,0
"208","Neutral Child",0,41,0,0
"209","Neutral Rights",1,50,0,0
"210","Greek Rights",1,38,0,0
"211","Roma Rights",0,42,0,0
"212","Roma Rights",0,58,0,0
"213","Greek Rights",0,87,0,0
"214","Roma Rights",1,45,0,0
"215","Roma Child",1,51,0,0
"216","Roma Rights",1,36,0,0
"217","Neutral Child",1,32,0,0
"218","Greek Child",0,39,0,0
"219","Roma Child",1,52,0,0
"220","Roma Child",0,38,0,0
"221","Neutral Child",1,30,0,0
"222","Neutral Child",1,36,0,0
"223","Neutral Rights",1,45,0,0
"224","Roma Rights",1,43,0,0
"225","Roma Child",1,43,0,0
"226","Roma Rights",1,34,0,0
"227","Neutral Rights",1,28,0,0
"228","Roma Child",1,30,0,0
"229","Roma Rights",1,43,0,0
"230","Greek Child",1,30,0,0
"231","Greek Rights",1,45,0,0
"232","Neutral Rights",1,38,0,0
"233","Roma Rights",1,35,0,0
"234","Greek Child",1,49,0,0
"235","Greek Child",1,33,0,0
"236","Roma Child",1,39,0,0
"237","Roma Rights",1,35,0,0
"238","Roma Child",1,60,0,0
"239","Roma Child",1,46,0,0
"240","Greek Rights",0,34,0,0
"241","Roma Rights",1,36,0,0
"242","Roma Child",1,48,0,0
"243","Greek Rights",0,52,0,0
"244","Roma Child",1,42,0,0
"245","Neutral Child",1,35,0,0
"246","Greek Rights",0,42,0,0
"247","Roma Child",1,40,0,0
"248","Greek Rights",1,48,0,0
"249","Greek Rights",1,30,0,0
"250","Neutral Rights",1,26,0,0
"251","Roma Child",1,33,0,0
"252","Greek Rights",0,33,0,0
"253","Greek Rights",1,35,0,0
"254","Greek Child",1,36,0,0
"255","Roma Child",1,37,0,0
"256","Roma Child",0,36,0,0
"257","Roma Child",0,35,0,0
"258","Greek Child",1,35,0,0
"259","Greek Rights",1,38,0,0
"260","Greek Child",1,52,0,0
"261","Neutral Child",0,46,0,0
"262","Greek Rights",0,37,0,0
"263","Greek Child",1,46,0,0
"264","Greek Rights",1,48,0,0
"265","Greek Rights",1,34,0,0
"266","Neutral Child",0,34,0,0
"267","Roma Child",1,52,0,0
"268","Roma Child",1,36,0,0
"269","Greek Rights",0,35,0,0
"270","Neutral Rights",0,29,0,0
"271","Greek Child",1,29,0,0
"272","Roma Child",0,30,0,0
"273","Greek Rights",0,36,0,0
"274","Greek Rights",0,38,0,0
"275","Roma Child",1,41,0,0
"276","Greek Child",0,31,0,0
"277","Neutral Child",1,37,0,0
"278","Roma Child",1,72,0,0
"279","Neutral Rights",1,36,0,0
"280","Greek Child",1,36,0,0
"281","Roma Child",1,29,0,0
"282","Roma Child",1,34,0,0
"283","Greek Rights",1,34,0,0
"284","Roma Rights",1,33,0,0
"285","Roma Child",1,42,0,0
"286","Greek Child",1,37,0,0
"287","Greek Child",1,69,0,0
"288","Roma Child",0,30,0,0
"289","Roma Rights",1,37,0,0
"290","Roma Rights",1,43,0,0
"291","Greek Child",1,47,0,0
"292","Roma Child",1,35,0,0
"293","Roma Rights",1,41,0,0
"294","Roma Rights",0,39,0,0
"295","Roma Rights",1,42,0,0
"296","Roma Child",1,38,0,0
"297","Neutral Child",0,32,0,0
"298","Neutral Child",0,31,0,0
"299","Greek Child",0,32,0,0
"300","Neutral Rights",1,34,0,0
"301","Greek Rights",1,39,0,0
"302","Roma Rights",1,40,0,0
"303","Greek Rights",1,39,0,0
"304","Greek Child",1,49,0,0
"305","Greek Rights",1,34,0,0
"306","Roma Child",0,32,0,0
"307","Roma Rights",1,36,0,0
"308","Greek Rights",1,36,0,0
"309","Neutral Rights",1,37,0,0
"310","Roma Rights",1,47,0,0
"311","Greek Child",1,45,0,0
"312","Neutral Rights",1,47,0,0
"313","Greek Child",0,40,0,0
"314","Greek Rights",1,35,0,0
"315","Neutral Child",0,68,0,0
"316","Roma Rights",0,36,0,0
"317","Greek Rights",1,37,0,0
"318","Roma Rights",1,36,0,0
"319","Roma Child",1,38,0,0
"320","Greek Child",1,40,0,0
"321","Roma Rights",0,31,0,0
"322","Neutral Rights",0,33,0,0
"323","Greek Rights",1,34,0,0
"324","Roma Child",0,58,0,0
"325","Greek Child",1,33,0,0
"326","Neutral Child",1,37,0,0
"327","Neutral Child",1,34,0,0
"328","Greek Child",1,46,0,0
"329","Greek Rights",1,41,0,0
"330","Roma Rights",0,34,0,0
"331","Greek Child",1,36,0,0
"332","Roma Rights",0,39,0,0
"333","Neutral Child",1,87,0,0
"334","Roma Child",1,34,0,0
"335","Roma Rights",0,36,0,0
"336","Roma Child",1,34,0,0
"337","Roma Rights",0,30,0,0
"338","Greek Child",0,38,0,0
"339","Greek Rights",0,39,0,0
"340","Neutral Child",1,65,0,0
"341","Roma Rights",0,37,0,0
"342","Neutral Child",1,30,0,0
"343","Greek Rights",0,29,0,0
"344","Roma Child",0,33,0,0
"345","Roma Rights",0,32,0,0
"346","Roma Child",1,42,0,0
"347","Greek Rights",1,39,0,0
"348","Roma Rights",1,54,0,0
"349","Greek Child",1,52,0,0
"350","Greek Rights",1,47,1,0
"351","Greek Child",1,17,0,0
"352","Greek Rights",1,34,0,0
"353","Greek Rights",1,35,0,0
"354","Roma Child",1,40,0,0
"355","Roma Rights",0,35,0,0
"356","Roma Child",1,46,0,0
"357","Roma Rights",0,44,0,0
"358","Greek Rights",1,33,0,0
"359","Neutral Rights",1,34,0,0
"360","Roma Rights",0,34,0,0
"361","Neutral Child",0,96,0,0
"362","Greek Child",0,28,0,0
"363","Roma Child",1,85,0,0
"364","Greek Rights",1,31,0,0
"365","Greek Rights",1,36,0,0
"366","Roma Rights",0,38,0,0
"367","Greek Child",1,56,0,0
"368","Neutral Child",0,59,0,0
"369","Greek Rights",1,39,0,0
"370","Greek Rights",1,33,0,0
"371","Roma Rights",1,96,0,0
"372","Roma Rights",0,40,0,0
"373","Greek Rights",0,35,0,0
"374","Greek Child",0,33,0,0
"375","Roma Rights",1,30,0,0
"376","Neutral Child",1,33,0,0
