"election_id","country","year","party_name","vote_share","seats","seats_total","left_right","state_market","liberty_authority","halfdecade","party_family"
10,"Belgium",1984,"Flemish Christian Peoples Party",19.8,4,24,5.7667,5.5876,7.2083,"(1979,1984]","Christian democracy"
10,"Belgium",1984,"Francophone Democratic Front",2.5,0,24,6.1259,6.25,5.8,"(1979,1984]","Liberal"
10,"Belgium",1984,"Flemish Block",1.28,0,24,9.6622,7.695,9.5234,"(1979,1984]","Right-wing"
10,"Belgium",1984,"Socialist Party",17.12,4,24,3.2459,3.0183,3.0805,"(1979,1984]","Social democracy"
10,"Belgium",1984,"Party of Liberty and Progress | Flemish Liberals and Democrats",8.64,2,24,7.0053,7.7639,3.7139,"(1979,1984]","Liberal"
10,"Belgium",1984,"Francophone Christian Social Party -- Humanist Democratic Centre",7.62,2,24,5.4974,5.3711,6.6409,"(1979,1984]","Christian democracy"
10,"Belgium",1984,"Socialist Party [Francophone]",13.32,5,24,2.9307,2.5938,3.1712,"(1979,1984]","Social democracy"
10,"Belgium",1984,"Agalev -- Green",4.31,1,24,2.5762,2.0089,1.0234,"(1979,1984]","Green/Ecologist"
11,"Austria",1953,"Freedom Party of Austria",10.9,14,165,8.3494,6.3291,8.5149,"(1949,1954]","Right-wing"
11,"Austria",1953,"Communist Party of Austria",5.3,4,165,0.5,1.4,3,"(1949,1954]","Communist/Socialist"
11,"Austria",1953,"Social Democratic Party of Austria",42.1,73,165,3.7293,3.4728,3.4766,"(1949,1954]","Social democracy"
11,"Austria",1953,"Austrian People's Party",41.3,74,165,6.4733,6.9485,7.6198,"(1949,1954]","Christian democracy"
11,"Austria",1953,"no seat",0.13,0,165,NA,NA,NA,"(1949,1954]",NA
13,"Austria",1995,"Freedom Party of Austria",NA,5,21,8.3494,6.3291,8.5149,"(1994,1999]","Right-wing"
13,"Austria",1995,"Liberal Forum",NA,1,21,4.8806,7.3667,1.8667,"(1994,1999]","Liberal"
13,"Austria",1995,"Social Democratic Party of Austria",NA,8,21,3.7293,3.4728,3.4766,"(1994,1999]","Social democracy"
13,"Austria",1995,"Austrian People's Party",NA,6,21,6.4733,6.9485,7.6198,"(1994,1999]","Christian democracy"
13,"Austria",1995,"The Greens -- The Green Alternative",NA,1,21,2.4604,2.7489,1.4308,"(1994,1999]","Green/Ecologist"
14,"Portugal",1994,"Democratic and Social Centre -- People's Party",12.85,3,25,8.0222,8.1963,8.9916,"(1989,1994]","Christian democracy"
14,"Portugal",1994,"Communist Party of the Portuguese Workers / Reorganizative Movement of the Party of the Proletariat",0.81,0,25,1.3,1.4,3,"(1989,1994]","Communist/Socialist"
14,"Portugal",1994,"Socialist Party",35.99,10,25,4.0492,4.2716,3.5411,"(1989,1994]","Social democracy"
14,"Portugal",1994,"Social Democratic Party",35.49,9,25,6.2949,6.8488,7.0224,"(1989,1994]","Liberal"
14,"Portugal",1994,"Unified Democratic Coalition",11.55,3,25,2.2233,1.48,2.6433,"(1989,1994]","Communist/Socialist"
15,"Finland",1999,"Aland Coalition",0.4,1,200,NA,NA,NA,"(1994,1999]","Special issue"
15,"Finland",1999,"Centre Party",22.4,48,200,5.8027,4.9349,7.2203,"(1994,1999]","Agrarian"
15,"Finland",1999,"Finnish Party | True Finns",1,1,200,6.6331,4.8745,7.999,"(1994,1999]","Agrarian"
15,"Finland",1999,"Social Democratic Party of Finland",22.9,51,200,3.5595,3.5454,4.2417,"(1994,1999]","Social democracy"
15,"Finland",1999,"Swedish People's Party",5.1,11,200,6.3906,6.7295,3.8385,"(1994,1999]","Liberal"
15,"Finland",1999,"Reform Group",1.1,1,200,6.6,5.8,6.8,"(1994,1999]","Special issue"
15,"Finland",1999,"Young Finns",1,0,200,6,6.7,3.5,"(1994,1999]","Liberal"
15,"Finland",1999,"Green League",7.3,11,200,3.6465,3.4279,2.2671,"(1994,1999]","Green/Ecologist"
15,"Finland",1999,"National Coalition Party",21,46,200,7.2451,7.6408,5.5872,"(1994,1999]","Conservative"
15,"Finland",1999,"Democratic Union | Left Alliance",10.9,20,200,2.1843,1.8661,3.3406,"(1994,1999]","Communist/Socialist"
15,"Finland",1999,"Christian Democrats",4.2,10,200,7.1884,4.9438,8.3076,"(1994,1999]","Christian democracy"
16,"Austria",1999,"Freedom Party of Austria",23.4,5,21,8.3494,6.3291,8.5149,"(1994,1999]","Right-wing"
16,"Austria",1999,"Liberal Forum",2.66,0,21,4.8806,7.3667,1.8667,"(1994,1999]","Liberal"
16,"Austria",1999,"Social Democratic Party of Austria",31.71,7,21,3.7293,3.4728,3.4766,"(1994,1999]","Social democracy"
16,"Austria",1999,"Austrian People's Party",30.67,7,21,6.4733,6.9485,7.6198,"(1994,1999]","Christian democracy"
16,"Austria",1999,"The Greens -- The Green Alternative",9.29,2,21,2.4604,2.7489,1.4308,"(1994,1999]","Green/Ecologist"
16,"Austria",1999,"Christian Social Alliance (Karl Habsburg List)",1.54,0,21,6.2,5.7,7.2,"(1994,1999]","Christian democracy"
17,"Italy",1987,"Republican Party",3.7,21,630,4.9704,5.8,5.1667,"(1984,1989]","Liberal"
17,"Italy",1987,"Italian Democratic Socialist Party",3,17,630,4.6206,3.915,2.99,"(1984,1989]","Social democracy"
17,"Italy",1987,"Sardinian Action Party",0.44,2,630,4.2,3.6667,6.25,"(1984,1989]","Social democracy"
17,"Italy",1987,"Italian Liberal Party",2.1,11,630,6.45,6.7,3.5,"(1984,1989]","Liberal"
17,"Italy",1987,"Italian Social Movement",5.9,35,630,9.1778,5.9,8.5,"(1984,1989]","Right-wing"
17,"Italy",1987,"Valdotanian Union",0.11,1,630,NA,NA,NA,"(1984,1989]","Special issue"
17,"Italy",1987,"South Tyrol Peoples Party",0.52,3,630,5.4,5.085,6.9,"(1984,1989]","Special issue"
17,"Italy",1987,"Venetian League",0.77,0,630,NA,NA,NA,"(1984,1989]","Special issue"
17,"Italy",1987,"Communist Party",26.6,177,630,1.6,1.4,3,"(1984,1989]","Communist/Socialist"
17,"Italy",1987,"Radicals",2.6,13,630,3.9732,7.0784,0.3338,"(1984,1989]","Social democracy"
17,"Italy",1987,"Green Lists",2.5,13,630,1.7778,2.5,1.8,"(1984,1989]","Green/Ecologist"
17,"Italy",1987,"Proletarian Democracy",1.7,8,630,0.5,1.4,3,"(1984,1989]","Communist/Socialist"
17,"Italy",1987,"Italian Socialist Party",14.3,94,630,3.7722,3.5,3.5,"(1984,1989]","Social democracy"
17,"Italy",1987,"Lombard League",0.48,1,630,NA,NA,NA,"(1984,1989]","Special issue"
17,"Italy",1987,"Christian Democrats",34.3,234,630,5.6611,5.7,7.2,"(1984,1989]","Christian democracy"
18,"Germany",2004,"The Grays -- Gray Panthers",1.2,0,99,NA,NA,NA,"(1999,2004]","Special issue"
18,"Germany",2004,"Animal Protection Party",1.3,0,99,NA,NA,NA,"(1999,2004]","Special issue"
18,"Germany",2004,"The Republicans",1.9,0,99,9.2752,6.1901,9.3871,"(1999,2004]","Right-wing"
18,"Germany",2004,"Free Democratic Party",6.1,7,99,5.9233,8.2173,3.0695,"(1999,2004]","Liberal"
18,"Germany",2004,"Social Democratic Party of Germany",21.5,23,99,3.6451,3.8443,3.9791,"(1999,2004]","Social democracy"
18,"Germany",2004,"Alliance 90 / Greens",11.9,13,99,2.9308,4.3268,1.3251,"(1999,2004]","Green/Ecologist"
18,"Germany",2004,"The Left / PDS",6.1,7,99,1.2152,1.0617,3.205,"(1999,2004]","Communist/Socialist"
18,"Germany",2004,"Christian Democratic Union",36.5,40,99,6.2503,6.3498,6.9333,"(1999,2004]","Christian democracy"
18,"Germany",2004,"Christian Social Union",8,9,99,7.2871,6.5615,7.8675,"(1999,2004]","Christian democracy"
18,"Germany",2004,"Family Party of Germany",1,0,99,7.4,6.4,7,"(1999,2004]","Conservative"
20,"France",1981,"Rally for the Republic",20.7,80,474,7.4997,6.5934,7.1854,"(1979,1984]","Conservative"
20,"France",1981,"Radical Socialist Party",10.6,0,474,3.9896,4.1676,4.2381,"(1979,1984]","Conservative"
20,"France",1981,"Union for French Democracy | Democratic Movement",2.2,59,474,6.1017,6.2021,5.4999,"(1979,1984]","Conservative"
20,"France",1981,"French Communist Party",16.1,43,474,1.3741,1.056,4.5083,"(1979,1984]","Communist/Socialist"
20,"France",1981,"Greens",1.1,0,474,3.155,2.8774,1.4772,"(1979,1984]","Green/Ecologist"
